               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.018208,            0.014144,           0.0014591,              0.9968,             0.99417,             0.99492,             0.78218,            0.017674,            0.011224,          0.00089766,            0.009406,            0.009406,            0.009406
                 122,            0.018253,            0.014079,           0.0015614,             0.99607,             0.99225,             0.99493,             0.77777,            0.017378,            0.011105,           0.0011535,            0.009401,            0.009401,            0.009401
                 123,              0.0178,            0.014308,             0.00154,             0.99647,             0.99178,             0.99491,             0.78668,            0.017053,            0.010921,          0.00098555,           0.0093961,           0.0093961,           0.0093961
                 124,            0.017485,            0.013798,           0.0015268,             0.99602,             0.99335,             0.99494,             0.79207,            0.017052,            0.011097,          0.00098263,           0.0093912,           0.0093912,           0.0093912
                 125,            0.017587,            0.013928,           0.0016592,             0.99795,             0.99415,             0.99498,             0.77946,            0.017916,            0.011226,           0.0010045,           0.0093862,           0.0093862,           0.0093862
                 126,            0.017325,            0.013772,           0.0014079,             0.99641,             0.99557,             0.99482,             0.78749,            0.017131,             0.01105,          0.00090145,           0.0093813,           0.0093813,           0.0093813
                 127,            0.017725,            0.014024,           0.0014628,             0.99822,             0.99335,             0.99492,             0.77193,            0.017713,            0.011261,           0.0008706,           0.0093763,           0.0093763,           0.0093763
                 128,            0.017117,            0.013596,           0.0013582,              0.9984,             0.99555,             0.99488,             0.78164,            0.017511,            0.011303,          0.00093645,           0.0093714,           0.0093714,           0.0093714
                 129,            0.017531,            0.014876,           0.0013989,             0.99803,             0.99335,             0.99497,             0.78378,            0.017667,            0.011145,          0.00090322,           0.0093664,           0.0093664,           0.0093664
                 130,            0.018048,            0.013963,           0.0013586,             0.99755,             0.99446,             0.99497,               0.783,            0.017494,              0.0112,          0.00090083,           0.0093615,           0.0093615,           0.0093615
                 131,            0.017186,            0.013625,           0.0014302,             0.99769,             0.99392,             0.99499,             0.78086,            0.017237,            0.011337,          0.00097536,           0.0093565,           0.0093565,           0.0093565
                 132,            0.017811,            0.013541,           0.0015195,              0.9973,             0.99497,             0.99498,             0.76538,            0.018098,            0.011179,          0.00090266,           0.0093516,           0.0093516,           0.0093516
                 133,            0.017762,            0.013751,           0.0012479,             0.99723,             0.99622,             0.99499,             0.76765,            0.018343,            0.011233,          0.00088217,           0.0093466,           0.0093466,           0.0093466
